Datum;Eroeffnung;Hoch;Tief;Schluss
02.01.2017; 714.00; 730.00; 710.50; 727.25
03.01.2017; 724.79; 732.84; 717.11; 724.27
04.01.2017; 725.00; 726.69; 720.04; 722.03
05.01.2017; 718.00; 737.99; 715.10; 736.54
06.01.2017; 738.00; 758.72; 735.00; 755.82
09.01.2017; 759.99; 760.56; 750.86; 754.03
10.01.2017; 751.00; 755.92; 746.01; 753.43
11.01.2017; 754.22; 759.87; 745.72; 755.37
12.01.2017; 752.50; 765.85; 746.35; 766.04
13.01.2017; 767.45; 773.76; 762.49; 768.24
16.01.2017; 776.00; 776.15; 771.00; 774.83
17.01.2017; 772.24; 772.79; 750.58; 755.77
18.01.2017; 757.99; 760.99; 753.26; 758.73
19.01.2017; 760.00; 768.08; 756.50; 758.89
20.01.2017; 759.43; 765.20; 754.62; 755.31
23.01.2017; 754.00; 760.93; 750.00; 761.33
24.01.2017; 761.99; 768.64; 757.14; 766.41
25.01.2017; 768.50; 780.50; 767.55; 778.16
26.01.2017; 782.00; 790.72; 780.00; 785.90
27.01.2017; 783.49; 785.99; 775.01; 780.95
30.01.2017; 779.90; 784.58; 765.70; 776.15
31.01.2017; 773.11; 776.35; 759.16; 762.54
01.02.2017; 764.20; 774.88; 764.20; 772.77
02.02.2017; 777.00; 781.82; 765.17; 780.35
03.02.2017; 752.50; 759.10; 745.57; 751.47
06.02.2017; 754.90; 758.70; 748.08; 751.22
07.02.2017; 753.00; 763.64; 753.00; 759.96
08.02.2017; 762.76; 768.82; 760.21; 766.84
09.02.2017; 769.01; 773.93; 765.99; 770.21
10.02.2017; 774.09; 779.21; 772.57; 777.70
13.02.2017; 781.50; 794.99; 777.05; 789.62
14.02.2017; 787.01; 792.84; 783.36; 790.62
15.02.2017; 792.99; 797.48; 790.23; 794.86
16.02.2017; 795.01; 796.22; 787.50; 790.71
17.02.2017; 788.66; 798.49; 788.66; 796.53
20.02.2017; 798.50; 800.12; 797.00; 800.00
21.02.2017; 806.00; 814.52; 799.59; 811.86
22.02.2017; 814.75; 819.95; 808.80; 809.57
