Datum;Eroeffnung;Hoch;Tief;Schluss
08.12.2017; 0.350; 0.355; 0.336; 0.350
11.12.2017; 0.376; 0.376; 0.346; 0.366
12.12.2017; 0.375; 0.386; 0.363; 0.373
13.12.2017; 0.369; 0.381; 0.359; 0.371
14.12.2017; 0.371; 0.371; 0.349; 0.354
15.12.2017; 0.355; 0.365; 0.346; 0.357
18.12.2017; 0.367; 0.381; 0.334; 0.373
19.12.2017; 0.375; 0.375; 0.346; 0.354
20.12.2017; 0.359; 0.359; 0.335; 0.344
21.12.2017; 0.341; 0.353; 0.338; 0.348
22.12.2017; 0.353; 0.353; 0.340; 0.347
27.12.2017; 0.358; 0.358; 0.338; 0.351
28.12.2017; 0.358; 0.358; 0.333; 0.341
29.12.2017; 0.347; 0.348; 0.340; 0.342
02.01.2018; 0.349; 0.350; 0.340; 0.342
03.01.2018; 0.347; 0.349; 0.335; 0.344
04.01.2018; 0.349; 0.349; 0.339; 0.341
05.01.2018; 0.347; 0.347; 0.330; 0.344
08.01.2018; 0.347; 0.355; 0.334; 0.350
09.01.2018; 0.353; 0.353; 0.333; 0.340
10.01.2018; 0.347; 0.347; 0.321; 0.332
11.01.2018; 0.336; 0.344; 0.333; 0.340
12.01.2018; 0.345; 0.345; 0.325; 0.336
15.01.2018; 0.339; 0.350; 0.331; 0.344
16.01.2018; 0.348; 0.358; 0.339; 0.345
17.01.2018; 0.349; 0.353; 0.335; 0.351
18.01.2018; 0.350; 0.350; 0.332; 0.339
19.01.2018; 0.345; 0.345; 0.336; 0.341
22.01.2018; 0.342; 0.344; 0.331; 0.336
23.01.2018; 0.338; 0.343; 0.330; 0.339
24.01.2018; 0.343; 0.343; 0.330; 0.335
25.01.2018; 0.340; 0.343; 0.331; 0.337
26.01.2018; 0.334; 0.354; 0.334; 0.345
29.01.2018; 0.341; 0.348; 0.334; 0.338
30.01.2018; 0.338; 0.340; 0.323; 0.325
31.01.2018; 0.326; 0.347; 0.313; 0.340
01.02.2018; 0.345; 0.349; 0.319; 0.344
02.02.2018; 0.347; 0.348; 0.319; 0.321
05.02.2018; 0.323; 0.326; 0.293; 0.304
06.02.2018; 0.303; 0.313; 0.271; 0.308
07.02.2018; 0.310; 0.310; 0.285; 0.296
08.02.2018; 0.303; 0.303; 0.281; 0.280
09.02.2018; 0.289; 0.294; 0.274; 0.290
12.02.2018; 0.302; 0.303; 0.284; 0.296
13.02.2018; 0.290; 0.304; 0.290; 0.301
14.02.2018; 0.300; 0.313; 0.290; 0.309
15.02.2018; 0.313; 0.313; 0.292; 0.301
16.02.2018; 0.312; 0.328; 0.309; 0.323
19.02.2018; 0.344; 0.358; 0.310; 0.317
20.02.2018; 0.329; 0.337; 0.309; 0.329
21.02.2018; 0.338; 0.347; 0.325; 0.335
22.02.2018; 0.334; 0.334; 0.320; 0.327
23.02.2018; 0.336; 0.336; 0.322; 0.331
