Datum;Eroeffnung;Hoch;Tief;Schluss
02.01.2017; 1.648; 1.649; 1.611; 1.643
03.01.2017; 1.688; 1.750; 1.641; 1.639
04.01.2017; 1.660; 1.700; 1.621; 1.664
05.01.2017; 1.676; 1.691; 1.626; 1.647
06.01.2017; 1.677; 1.678; 1.629; 1.657
09.01.2017; 1.641; 1.720; 1.637; 1.642
10.01.2017; 1.649; 1.677; 1.631; 1.643
11.01.2017; 1.631; 1.779; 1.631; 1.764
12.01.2017; 1.770; 1.870; 1.711; 1.737
13.01.2017; 1.758; 1.771; 1.722; 1.753
16.01.2017; 1.735; 1.789; 1.735; 1.761
17.01.2017; 1.777; 1.784; 1.720; 1.780
18.01.2017; 1.814; 1.939; 1.789; 1.942
19.01.2017; 1.959; 2.033; 1.867; 1.872
20.01.2017; 1.939; 1.979; 1.900; 1.894
23.01.2017; 1.895; 1.924; 1.801; 1.821
24.01.2017; 1.811; 1.911; 1.811; 1.850
25.01.2017; 1.931; 1.946; 1.831; 1.856
26.01.2017; 1.890; 1.908; 1.811; 1.855
27.01.2017; 1.861; 1.865; 1.810; 1.813
30.01.2017; 1.815; 1.823; 1.733; 1.791
31.01.2017; 1.787; 1.801; 1.702; 1.728
01.02.2017; 1.762; 1.840; 1.721; 1.787
02.02.2017; 1.810; 1.819; 1.761; 1.788
03.02.2017; 1.779; 1.834; 1.765; 1.823
06.02.2017; 1.850; 1.873; 1.801; 1.847
07.02.2017; 1.884; 1.918; 1.821; 1.857
08.02.2017; 1.883; 1.908; 1.776; 1.820
09.02.2017; 1.841; 1.865; 1.751; 1.786
10.02.2017; 1.761; 1.853; 1.760; 1.857
13.02.2017; 1.833; 1.889; 1.829; 1.873
14.02.2017; 1.892; 1.930; 1.835; 1.897
15.02.2017; 1.871; 1.919; 1.832; 1.872
16.02.2017; 1.910; 1.979; 1.861; 1.926
17.02.2017; 1.930; 1.939; 1.891; 1.914
20.02.2017; 1.929; 1.934; 1.903; 1.924
21.02.2017; 1.939; 1.989; 1.900; 1.967
22.02.2017; 1.979; 2.019; 1.883; 1.926
23.02.2017; 1.957; 1.957; 1.890; 1.876
24.02.2017; 1.886; 1.904; 1.813; 1.861
27.02.2017; 1.839; 1.905; 1.839; 1.865
28.02.2017; 1.836; 1.872; 1.811; 1.808
01.03.2017; 1.818; 1.902; 1.818; 1.891
02.03.2017; 2.041; 2.099; 1.876; 1.889
03.03.2017; 1.924; 1.965; 1.863; 1.946
06.03.2017; 1.930; 2.010; 1.927; 1.989
07.03.2017; 2.017; 2.024; 1.940; 1.944
08.03.2017; 1.971; 1.975; 1.926; 1.935
09.03.2017; 1.921; 1.937; 1.867; 1.885
10.03.2017; 1.914; 1.931; 1.875; 1.914
13.03.2017; 1.933; 2.000; 1.903; 2.013
14.03.2017; 1.990; 2.018; 1.951; 1.976
15.03.2017; 1.998; 2.039; 1.949; 2.019
16.03.2017; 2.040; 2.069; 1.995; 2.029
17.03.2017; 2.055; 2.069; 2.021; 2.027
20.03.2017; 2.069; 2.149; 2.054; 2.109
21.03.2017; 2.128; 2.152; 1.991; 2.003
22.03.2017; 2.010; 2.060; 1.981; 2.040
23.03.2017; 2.040; 2.141; 2.040; 2.108
24.03.2017; 2.092; 2.132; 2.051; 2.080
27.03.2017; 2.100; 2.100; 2.000; 2.044
28.03.2017; 2.068; 2.073; 2.007; 2.031
29.03.2017; 2.048; 2.089; 2.023; 2.066
30.03.2017; 2.090; 2.098; 2.030; 2.046
31.03.2017; 2.030; 2.109; 2.020; 2.067
03.04.2017; 2.105; 2.109; 2.051; 2.076
04.04.2017; 2.097; 2.219; 2.022; 2.198
05.04.2017; 2.187; 2.439; 2.142; 2.225
06.04.2017; 2.291; 2.449; 2.266; 2.439
07.04.2017; 2.501; 2.516; 2.401; 2.425
10.04.2017; 2.454; 2.619; 2.449; 2.601
11.04.2017; 2.619; 2.719; 2.551; 2.711
12.04.2017; 2.660; 2.719; 2.567; 2.608
13.04.2017; 2.565; 2.844; 2.516; 2.755
18.04.2017; 2.799; 2.869; 2.551; 2.678
19.04.2017; 2.660; 2.720; 2.596; 2.609
20.04.2017; 2.622; 2.623; 2.531; 2.598
21.04.2017; 2.583; 2.625; 2.488; 2.574
24.04.2017; 2.599; 2.670; 2.488; 2.637
25.04.2017; 2.657; 2.658; 2.582; 2.583
26.04.2017; 2.661; 2.750; 2.630; 2.747
27.04.2017; 2.729; 2.979; 2.725; 2.883
28.04.2017; 2.901; 3.030; 2.861; 2.996
02.05.2017; 2.950; 3.000; 2.531; 2.678
03.05.2017; 2.687; 2.755; 2.602; 2.731
04.05.2017; 2.720; 2.789; 2.345; 2.426
05.05.2017; 2.406; 2.593; 2.405; 2.560
08.05.2017; 2.593; 2.599; 2.501; 2.502
09.05.2017; 2.502; 2.538; 2.413; 2.524
10.05.2017; 2.542; 2.595; 2.482; 2.554
11.05.2017; 2.576; 2.620; 2.530; 2.555
12.05.2017; 2.575; 2.575; 2.511; 2.539
15.05.2017; 2.561; 2.597; 2.501; 2.539
16.05.2017; 2.519; 2.596; 2.445; 2.449
17.05.2017; 2.450; 2.538; 2.321; 2.336
18.05.2017; 2.336; 2.427; 2.306; 2.389
19.05.2017; 2.412; 2.485; 2.366; 2.477
22.05.2017; 2.472; 2.539; 2.452; 2.488
23.05.2017; 2.511; 2.511; 2.393; 2.446
24.05.2017; 2.452; 2.465; 2.409; 2.430
25.05.2017; 2.412; 2.467; 2.381; 2.396
26.05.2017; 2.419; 2.462; 2.375; 2.458
29.05.2017; 2.482; 2.568; 2.478; 2.540
30.05.2017; 2.572; 2.594; 2.469; 2.462
31.05.2017; 2.478; 2.500; 2.405; 2.457
01.06.2017; 2.475; 2.477; 2.421; 2.430
02.06.2017; 2.450; 2.477; 2.343; 2.371
05.06.2017; 2.404; 2.420; 2.353; 2.403
06.06.2017; 2.481; 2.689; 2.481; 2.498
07.06.2017; 2.484; 2.563; 2.436; 2.507
08.06.2017; 2.532; 2.649; 2.497; 2.644
09.06.2017; 2.650; 2.691; 2.521; 2.560
12.06.2017; 2.590; 2.600; 2.451; 2.558
13.06.2017; 2.593; 2.683; 2.580; 2.681
14.06.2017; 2.655; 2.814; 2.639; 2.687
15.06.2017; 2.704; 2.747; 2.636; 2.661
16.06.2017; 2.719; 2.719; 2.627; 2.662
19.06.2017; 2.691; 2.718; 2.651; 2.651
20.06.2017; 2.657; 2.699; 2.584; 2.586
21.06.2017; 2.571; 2.649; 2.480; 2.519
22.06.2017; 2.500; 2.613; 2.463; 2.578
23.06.2017; 2.585; 2.669; 2.558; 2.630
26.06.2017; 2.662; 2.664; 2.554; 2.571
27.06.2017; 2.567; 2.586; 2.511; 2.534
28.06.2017; 2.521; 2.610; 2.511; 2.570
29.06.2017; 2.598; 2.600; 2.501; 2.531
30.06.2017; 2.508; 2.582; 2.508; 2.535
03.07.2017; 2.566; 2.569; 2.514; 2.506
04.07.2017; 2.524; 2.559; 2.514; 2.539
05.07.2017; 2.519; 2.559; 2.501; 2.535
06.07.2017; 2.512; 2.549; 2.411; 2.448
07.07.2017; 2.479; 2.506; 2.388; 2.399
10.07.2017; 2.418; 2.449; 2.376; 2.408
11.07.2017; 2.404; 2.493; 2.374; 2.464
12.07.2017; 2.493; 2.560; 2.426; 2.562
13.07.2017; 2.584; 2.590; 2.481; 2.556
14.07.2017; 2.551; 2.579; 2.495; 2.515
17.07.2017; 2.538; 2.538; 2.470; 2.493
18.07.2017; 2.471; 2.542; 2.451; 2.505
19.07.2017; 2.532; 2.633; 2.512; 2.592
20.07.2017; 2.584; 2.648; 2.536; 2.593
21.07.2017; 2.583; 2.662; 2.535; 2.576
24.07.2017; 2.599; 2.617; 2.501; 2.520
25.07.2017; 2.538; 2.566; 2.513; 2.511
26.07.2017; 2.531; 2.567; 2.471; 2.470
27.07.2017; 2.470; 2.512; 2.431; 2.454
28.07.2017; 2.431; 2.472; 2.400; 2.480
31.07.2017; 2.480; 2.506; 2.430; 2.471
01.08.2017; 2.471; 2.499; 2.402; 2.445
02.08.2017; 2.463; 2.471; 2.389; 2.409
03.08.2017; 2.500; 2.569; 2.479; 2.505
04.08.2017; 2.500; 2.570; 2.446; 2.466
07.08.2017; 2.498; 2.500; 2.445; 2.472
08.08.2017; 2.497; 2.534; 2.428; 2.481
09.08.2017; 2.457; 2.507; 2.442; 2.463
10.08.2017; 2.468; 2.480; 2.343; 2.368
11.08.2017; 2.376; 2.400; 2.231; 2.297
14.08.2017; 2.282; 2.449; 2.282; 2.372
15.08.2017; 2.407; 2.443; 2.373; 2.415
16.08.2017; 2.394; 2.403; 2.365; 2.392
17.08.2017; 2.369; 2.389; 2.346; 2.392
18.08.2017; 2.365; 2.410; 2.356; 2.377
21.08.2017; 2.400; 2.400; 2.351; 2.359
22.08.2017; 2.378; 2.406; 2.361; 2.377
23.08.2017; 2.399; 2.399; 2.317; 2.357
24.08.2017; 2.341; 2.348; 2.280; 2.335
25.08.2017; 2.317; 2.368; 2.302; 2.311
28.08.2017; 2.293; 2.332; 2.293; 2.301
29.08.2017; 2.274; 2.324; 2.150; 2.310
30.08.2017; 2.290; 2.469; 2.257; 2.442
31.08.2017; 2.438; 2.658; 2.410; 2.625
01.09.2017; 2.612; 2.688; 2.583; 2.668
