Datum;Eroeffnung;Hoch;Tief;Schluss
01.01.2017; ; ; ; 948.7433
02.01.2017; ; ; ; 973.7802
03.01.2017; ; ; ; 994.3156
04.01.2017; ; ; ; 1078.34
05.01.2017; ; ; ; 934.2619
06.01.2017; ; ; ; 848.6308
07.01.2017; ; ; ; 854.5528
08.01.2017; ; ; ; 862.1537
09.01.2017; ; ; ; 852.6843
10.01.2017; ; ; ; 858.3341
11.01.2017; ; ; ; 741.0161
12.01.2017; ; ; ; 753.2917
13.01.2017; ; ; ; 775.2239
14.01.2017; ; ; ; 768.4652
15.01.2017; ; ; ; 773.7139
16.01.2017; ; ; ; 781.4939
17.01.2017; ; ; ; 844.0353
18.01.2017; ; ; ; 821.824
19.01.2017; ; ; ; 841.4353
20.01.2017; ; ; ; 833.0415
21.01.2017; ; ; ; 859.6971
22.01.2017; ; ; ; 858.3828
23.01.2017; ; ; ; 853.6122
24.01.2017; ; ; ; 825.4107
25.01.2017; ; ; ; 831.1325
26.01.2017; ; ; ; 857.0327
27.01.2017; ; ; ; 858.4133
28.01.2017; ; ; ; 860.2163
29.01.2017; ; ; ; 853.2889
30.01.2017; ; ; ; 860.6615
31.01.2017; ; ; ; 897.0729
01.02.2017; ; ; ; 916.3135
02.02.2017; ; ; ; 937.0509
03.02.2017; ; ; ; 941.2705
04.02.2017; ; ; ; 958.1295
05.02.2017; ; ; ; 943.3234
06.02.2017; ; ; ; 953.2266
07.02.2017; ; ; ; 984.8361
08.02.2017; ; ; ; 986.5853
09.02.2017; ; ; ; 921.4008
10.02.2017; ; ; ; 933.3161
11.02.2017; ; ; ; 950.3443
12.02.2017; ; ; ; 941.1277
13.02.2017; ; ; ; 940.1216
14.02.2017; ; ; ; 955.0121
15.02.2017; ; ; ; 952.4293
16.02.2017; ; ; ; 970.0111
17.02.2017; ; ; ; 995.3532
18.02.2017; ; ; ; 997.1344
19.02.2017; ; ; ; 992.0908
20.02.2017; ; ; ; 1020.19
21.02.2017; ; ; ; 1067.97
22.02.2017; ; ; ; 1064.08
23.02.2017; ; ; ; 1120.54
24.02.2017; ; ; ; 1118.89
25.02.2017; ; ; ; 1088.36
26.02.2017; ; ; ; 1118.13
27.02.2017; ; ; ; 1126.96
28.02.2017; ; ; ; 1125.78
01.03.2017; ; ; ; 1163.45
02.03.2017; ; ; ; 1201.22
03.03.2017; ; ; ; 1213.89
04.03.2017; ; ; ; 1194.4
05.03.2017; ; ; ; 1202.82
06.03.2017; ; ; ; 1210.6
07.03.2017; ; ; ; 1166.95
08.03.2017; ; ; ; 1090.66
09.03.2017; ; ; ; 1126.52
10.03.2017; ; ; ; 1030.62
11.03.2017; ; ; ; 1106.52
12.03.2017; ; ; ; 1152.27
13.03.2017; ; ; ; 1167.22
14.03.2017; ; ; ; 1175.29
15.03.2017; ; ; ; 1172.77
16.03.2017; ; ; ; 1133.77
17.03.2017; ; ; ; 999.3896
18.03.2017; ; ; ; 895.2018
19.03.2017; ; ; ; 952.8028
20.03.2017; ; ; ; 965.4624
21.03.2017; ; ; ; 1029.09
22.03.2017; ; ; ; 963.3767
23.03.2017; ; ; ; 954.4232
