Datum;Eroeffnung;Hoch;Tief;Schluss
01.01.2017; ; ; ; 7.6664
02.01.2017; ; ; ; 7.9887
03.01.2017; ; ; ; 9.2436
04.01.2017; ; ; ; 10.4628
05.01.2017; ; ; ; 9.5393
06.01.2017; ; ; ; 9.639
07.01.2017; ; ; ; 9.3274
08.01.2017; ; ; ; 9.7485
09.01.2017; ; ; ; 9.7249
10.01.2017; ; ; ; 9.9727
11.01.2017; ; ; ; 9.1287
12.01.2017; ; ; ; 9.1093
13.01.2017; ; ; ; 9.074
14.01.2017; ; ; ; 9.1101
15.01.2017; ; ; ; 9.2121
16.01.2017; ; ; ; 8.9831
17.01.2017; ; ; ; 9.5764
18.01.2017; ; ; ; 9.5218
19.01.2017; ; ; ; 9.7432
20.01.2017; ; ; ; 9.8586
21.01.2017; ; ; ; 10.1635
22.01.2017; ; ; ; 10.039
23.01.2017; ; ; ; 9.9871
24.01.2017; ; ; ; 9.6903
25.01.2017; ; ; ; 9.741
26.01.2017; ; ; ; 9.8827
27.01.2017; ; ; ; 9.8247
28.01.2017; ; ; ; 9.8665
29.01.2017; ; ; ; 9.7361
30.01.2017; ; ; ; 9.878
31.01.2017; ; ; ; 9.8922
01.02.2017; ; ; ; 9.9389
02.02.2017; ; ; ; 10.0475
03.02.2017; ; ; ; 10.1388
04.02.2017; ; ; ; 10.5055
05.02.2017; ; ; ; 10.4284
06.02.2017; ; ; ; 10.5082
07.02.2017; ; ; ; 10.7083
08.02.2017; ; ; ; 10.5971
09.02.2017; ; ; ; 10.2445
10.02.2017; ; ; ; 10.6073
11.02.2017; ; ; ; 10.7158
12.02.2017; ; ; ; 10.6801
13.02.2017; ; ; ; 10.648
14.02.2017; ; ; ; 12.2644
15.02.2017; ; ; ; 12.211
16.02.2017; ; ; ; 12.0311
17.02.2017; ; ; ; 11.9676
18.02.2017; ; ; ; 12.0724
19.02.2017; ; ; ; 12.0304
20.02.2017; ; ; ; 12.0203
21.02.2017; ; ; ; 12.0866
22.02.2017; ; ; ; 11.9359
23.02.2017; ; ; ; 12.4359
24.02.2017; ; ; ; 12.3858
25.02.2017; ; ; ; 12.8282
26.02.2017; ; ; ; 13.7771
27.02.2017; ; ; ; 14.5069
28.02.2017; ; ; ; 14.8513
