Datum;Eroeffnung;Hoch;Tief;Schluss
02.01.2017; 11426.38; 11617.28; 11414.82; 11598.33
03.01.2017; 11631.70; 11637.37; 11561.23; 11584.24
04.01.2017; 11609.53; 11616.09; 11531.43; 11584.31
05.01.2017; 11537.73; 11602.54; 11537.40; 11584.94
06.01.2017; 11560.52; 11605.74; 11547.05; 11599.01
09.01.2017; 11606.89; 11606.89; 11522.35; 11563.99
10.01.2017; 11583.24; 11606.95; 11544.99; 11583.30
11.01.2017; 11587.53; 11692.27; 11524.99; 11646.17
12.01.2017; 11599.24; 11606.43; 11491.87; 11521.04
13.01.2017; 11576.78; 11635.55; 11554.45; 11629.18
16.01.2017; 11537.45; 11579.05; 11535.96; 11554.71
17.01.2017; 11521.50; 11583.43; 11425.14; 11540.00
18.01.2017; 11592.12; 11599.39; 11529.76; 11599.39
19.01.2017; 11624.11; 11644.88; 11578.91; 11596.89
20.01.2017; 11568.90; 11636.79; 11547.04; 11630.13
23.01.2017; 11545.97; 11605.29; 11508.83; 11545.75
24.01.2017; 11554.80; 11596.18; 11538.05; 11594.94
25.01.2017; 11677.63; 11827.73; 11669.30; 11806.05
26.01.2017; 11867.91; 11893.08; 11819.76; 11848.63
27.01.2017; 11841.72; 11844.68; 11798.26; 11814.27
30.01.2017; 11786.31; 11792.33; 11659.35; 11681.89
31.01.2017; 11692.53; 11733.16; 11535.31; 11535.31
01.02.2017; 11646.42; 11723.39; 11622.60; 11659.50
02.02.2017; 11628.28; 11675.98; 11603.65; 11627.95
03.02.2017; 11636.23; 11696.94; 11627.98; 11651.49
06.02.2017; 11628.03; 11679.91; 11509.58; 11509.84
07.02.2017; 11498.49; 11606.26; 11483.83; 11549.44
08.02.2017; 11546.93; 11591.26; 11479.78; 11543.38
09.02.2017; 11584.40; 11657.24; 11548.18; 11642.86
10.02.2017; 11698.70; 11711.55; 11645.13; 11666.97
13.02.2017; 11697.99; 11812.69; 11684.91; 11774.43
14.02.2017; 11766.99; 11787.82; 11752.68; 11771.81
15.02.2017; 11834.48; 11848.04; 11725.38; 11793.93
16.02.2017; 11778.99; 11814.70; 11728.38; 11757.24
17.02.2017; 11759.57; 11775.40; 11693.70; 11757.02
20.02.2017; 11831.71; 11841.06; 11804.72; 11827.62
21.02.2017; 11817.97; 11987.58; 11798.48; 11967.49
22.02.2017; 11989.71; 12031.11; 11966.02; 11998.59
23.02.2017; 11994.06; 12015.98; 11925.88; 11947.83
24.02.2017; 11920.90; 11934.64; 11722.35; 11804.03
27.02.2017; 11858.14; 11860.82; 11792.51; 11822.67
28.02.2017; 11847.09; 11853.50; 11780.83; 11834.41
01.03.2017; 11915.03; 12074.02; 11913.84; 12067.19
02.03.2017; 12052.80; 12082.59; 12041.90; 12059.57
03.03.2017; 11998.06; 12058.21; 11995.40; 12027.36
06.03.2017; 11956.81; 11998.83; 11921.57; 11958.40
07.03.2017; 11963.76; 11988.87; 11935.33; 11966.14
08.03.2017; 11922.86; 12017.28; 11922.31; 11967.31
09.03.2017; 11923.51; 12024.70; 11917.78; 11978.39
10.03.2017; 12018.48; 12067.07; 11936.81; 11963.18
13.03.2017; 11954.80; 12006.01; 11949.03; 11990.03
14.03.2017; 11987.34; 12002.75; 11930.38; 11988.79
15.03.2017; 12000.44; 12027.05; 11977.32; 12009.87
16.03.2017; 12140.30; 12156.44; 12046.07; 12083.18
17.03.2017; 12039.24; 12117.90; 12018.27; 12095.24
20.03.2017; 12050.81; 12082.31; 12033.24; 12052.90
21.03.2017; 12083.01; 12111.24; 11938.42; 11962.13
22.03.2017; 11870.78; 11934.35; 11850.27; 11904.12
23.03.2017; 11914.20; 12043.67; 11896.68; 12039.68
24.03.2017; 12033.27; 12082.67; 12010.33; 12064.27
27.03.2017; 11957.65; 11996.35; 11916.07; 11996.07
28.03.2017; 12062.69; 12158.72; 12045.17; 12149.42
29.03.2017; 12195.86; 12233.76; 12180.83; 12203.00
30.03.2017; 12220.64; 12258.37; 12200.34; 12256.43
31.03.2017; 12241.57; 12313.29; 12230.17; 12312.87
03.04.2017; 12368.82; 12375.58; 12256.94; 12257.20
04.04.2017; 12255.72; 12288.78; 12225.38; 12282.34
05.04.2017; 12280.06; 12293.13; 12212.17; 12217.54
06.04.2017; 12147.37; 12242.50; 12119.04; 12230.89
07.04.2017; 12174.51; 12225.06; 12144.98; 12225.06
10.04.2017; 12244.50; 12246.88; 12178.10; 12200.52
11.04.2017; 12149.40; 12221.43; 12049.93; 12139.35
12.04.2017; 12174.96; 12242.76; 12123.12; 12154.70
13.04.2017; 12137.57; 12147.70; 12089.94; 12109.00
18.04.2017; 12135.61; 12162.47; 11996.74; 12000.44
19.04.2017; 12014.03; 12040.23; 12001.86; 12016.45
20.04.2017; 11968.06; 12050.66; 11941.57; 12027.32
21.04.2017; 12032.78; 12091.33; 12009.12; 12048.57
24.04.2017; 12296.56; 12456.18; 12289.37; 12454.98
25.04.2017; 12457.83; 12482.90; 12439.11; 12467.04
26.04.2017; 12466.50; 12486.29; 12442.37; 12472.80
27.04.2017; 12440.01; 12478.28; 12426.99; 12443.79
28.04.2017; 12417.89; 12462.11; 12414.10; 12438.01
02.05.2017; 12478.46; 12511.17; 12433.51; 12507.90
03.05.2017; 12502.36; 12532.25; 12477.87; 12527.84
04.05.2017; 12552.06; 12648.22; 12539.71; 12647.78
05.05.2017; 12601.46; 12718.66; 12591.75; 12716.89
08.05.2017; 12758.48; 12762.04; 12659.70; 12694.55
09.05.2017; 12732.74; 12783.23; 12703.96; 12749.12
10.05.2017; 12728.97; 12776.08; 12715.67; 12757.46
11.05.2017; 12767.13; 12772.88; 12662.49; 12711.06
12.05.2017; 12728.84; 12771.00; 12714.38; 12770.41
15.05.2017; 12824.05; 12832.29; 12729.49; 12807.04
16.05.2017; 12787.69; 12841.66; 12776.02; 12804.53
17.05.2017; 12700.12; 12786.89; 12587.45; 12631.61
18.05.2017; 12608.19; 12634.26; 12489.95; 12590.06
19.05.2017; 12612.30; 12658.55; 12596.72; 12638.69
22.05.2017; 12664.97; 12670.26; 12571.06; 12619.46
23.05.2017; 12597.54; 12703.74; 12593.33; 12659.15
24.05.2017; 12631.39; 12662.05; 12617.76; 12642.87
25.05.2017; 12693.84; 12697.66; 12543.77; 12621.72
26.05.2017; 12604.40; 12611.49; 12529.51; 12602.18
29.05.2017; 12588.80; 12633.37; 12578.58; 12628.95
30.05.2017; 12583.82; 12648.10; 12567.22; 12598.68
31.05.2017; 12612.52; 12709.13; 12582.80; 12615.06
01.06.2017; 12623.61; 12677.60; 12621.53; 12664.92
02.06.2017; 12735.00; 12878.59; 12734.78; 12822.94
06.06.2017; 12768.46; 12788.34; 12679.58; 12690.12
07.06.2017; 12659.97; 12746.42; 12640.52; 12672.49
08.06.2017; 12688.54; 12740.36; 12684.71; 12713.58
09.06.2017; 12711.53; 12821.03; 12711.53; 12815.72
12.06.2017; 12760.39; 12782.73; 12666.39; 12690.44
13.06.2017; 12739.50; 12790.30; 12727.83; 12764.98
14.06.2017; 12798.26; 12921.17; 12788.70; 12805.95
15.06.2017; 12801.91; 12804.47; 12620.90; 12691.81
16.06.2017; 12746.05; 12762.35; 12707.59; 12752.73
19.06.2017; 12849.99; 12912.85; 12833.01; 12888.95
20.06.2017; 12938.04; 12951.54; 12814.76; 12814.79
21.06.2017; 12792.32; 12804.42; 12708.99; 12774.26
22.06.2017; 12758.66; 12806.02; 12717.29; 12794.00
23.06.2017; 12757.97; 12787.22; 12677.40; 12733.41
26.06.2017; 12783.89; 12841.31; 12752.75; 12770.83
27.06.2017; 12728.50; 12751.20; 12644.95; 12671.02
28.06.2017; 12586.06; 12671.28; 12536.86; 12647.27
29.06.2017; 12707.48; 12729.18; 12396.13; 12416.19
30.06.2017; 12424.50; 12459.69; 12319.00; 12325.12
03.07.2017; 12396.34; 12486.29; 12390.73; 12475.31
04.07.2017; 12413.60; 12481.81; 12411.56; 12437.13
05.07.2017; 12432.41; 12496.82; 12406.69; 12453.68
06.07.2017; 12474.51; 12490.72; 12316.43; 12381.25
07.07.2017; 12376.19; 12388.68; 12339.91; 12388.68
10.07.2017; 12464.96; 12482.95; 12406.20; 12445.92
11.07.2017; 12479.67; 12539.18; 12417.85; 12437.02
12.07.2017; 12469.85; 12648.19; 12468.16; 12626.58
13.07.2017; 12614.13; 12676.52; 12613.52; 12641.33
14.07.2017; 12642.65; 12662.01; 12577.33; 12631.72
17.07.2017; 12652.37; 12656.13; 12542.96; 12587.16
18.07.2017; 12540.93; 12572.86; 12384.61; 12430.39
19.07.2017; 12468.06; 12475.17; 12418.67; 12452.05
20.07.2017; 12514.84; 12575.52; 12392.19; 12447.25
21.07.2017; 12424.80; 12464.12; 12190.89; 12240.06
24.07.2017; 12228.63; 12235.85; 12142.01; 12208.95
25.07.2017; 12228.32; 12301.67; 12211.14; 12264.31
26.07.2017; 12260.30; 12341.03; 12255.74; 12305.11
27.07.2017; 12230.09; 12293.90; 12176.02; 12212.04
28.07.2017; 12151.38; 12183.77; 12098.57; 12162.70
31.07.2017; 12141.53; 12210.30; 12097.36; 12118.25
01.08.2017; 12147.89; 12302.38; 12092.06; 12251.29
02.08.2017; 12269.90; 12275.00; 12153.54; 12181.48
03.08.2017; 12130.76; 12184.60; 12099.13; 12154.72
04.08.2017; 12138.09; 12321.98; 12123.66; 12297.72
07.08.2017; 12305.74; 12336.00; 12225.77; 12257.17
08.08.2017; 12239.78; 12329.97; 12184.59; 12292.05
09.08.2017; 12191.37; 12227.52; 12100.12; 12154.00
10.08.2017; 12158.69; 12158.92; 11993.73; 12014.30
11.08.2017; 11961.60; 12046.89; 11934.92; 12014.06
14.08.2017; 12100.17; 12195.43; 12097.00; 12165.12
15.08.2017; 12208.30; 12234.64; 12156.87; 12177.04
16.08.2017; 12250.02; 12301.40; 12240.83; 12263.86
17.08.2017; 12236.60; 12290.05; 12184.27; 12203.46
18.08.2017; 12103.51; 12178.09; 12080.74; 12165.19
21.08.2017; 12105.72; 12149.58; 12021.70; 12065.99
22.08.2017; 12151.76; 12234.79; 12124.15; 12229.34
23.08.2017; 12227.23; 12269.92; 12155.74; 12174.30
24.08.2017; 12196.18; 12254.75; 12169.54; 12180.83
25.08.2017; 12194.73; 12249.44; 12132.50; 12167.94
28.08.2017; 12105.49; 12173.53; 12064.36; 12123.47
29.08.2017; 12031.12; 12032.32; 11868.84; 11945.88
30.08.2017; 12026.45; 12040.82; 11989.61; 12002.47
31.08.2017; 12098.57; 12115.55; 12034.18; 12055.84
01.09.2017; 12101.15; 12191.23; 12085.31; 12142.64
04.09.2017; 12051.80; 12138.41; 12050.53; 12102.21
05.09.2017; 12125.42; 12210.25; 12100.26; 12123.71
06.09.2017; 12071.90; 12260.76; 12066.84; 12214.54
07.09.2017; 12284.14; 12363.60; 12265.51; 12296.63
08.09.2017; 12261.81; 12321.61; 12245.33; 12303.98
11.09.2017; 12381.52; 12481.77; 12381.33; 12475.24
12.09.2017; 12527.44; 12558.03; 12512.59; 12524.77
13.09.2017; 12489.25; 12565.85; 12489.25; 12553.57
14.09.2017; 12524.12; 12552.16; 12499.55; 12540.45
15.09.2017; 12525.36; 12561.35; 12506.94; 12518.81
18.09.2017; 12593.55; 12613.56; 12537.07; 12559.39
19.09.2017; 12556.46; 12566.20; 12527.90; 12561.79
20.09.2017; 12550.92; 12593.25; 12518.22; 12569.17
21.09.2017; 12601.95; 12621.28; 12582.04; 12600.03
22.09.2017; 12569.66; 12646.56; 12568.80; 12592.35
25.09.2017; 12573.35; 12633.06; 12564.84; 12594.81
26.09.2017; 12557.44; 12629.93; 12551.87; 12605.20
27.09.2017; 12630.40; 12685.19; 12625.55; 12657.41
28.09.2017; 12682.37; 12708.70; 12666.03; 12704.65
29.09.2017; 12725.87; 12828.86; 12722.38; 12828.86
02.10.2017; 12866.27; 12902.65; 12849.59; 12902.65
04.10.2017; 12955.89; 12976.24; 12893.75; 12970.52
05.10.2017; 12950.18; 12969.40; 12933.56; 12968.05
06.10.2017; 12979.34; 12993.53; 12941.15; 12955.94
09.10.2017; 12975.86; 12996.64; 12943.55; 12976.40
10.10.2017; 12959.72; 12980.45; 12909.28; 12949.25
11.10.2017; 12965.28; 12976.32; 12925.24; 12970.68
12.10.2017; 12977.27; 13002.34; 12945.07; 12982.89
13.10.2017; 12995.08; 13036.74; 12964.35; 12991.87
16.10.2017; 13017.18; 13026.45; 13000.38; 13003.70
17.10.2017; 12995.84; 13034.42; 12967.35; 12995.06
18.10.2017; 13012.80; 13094.76; 13003.92; 13043.03
19.10.2017; 13036.28; 13042.62; 12911.58; 12990.10
20.10.2017; 13057.78; 13063.57; 12956.42; 12991.28
23.10.2017; 13014.57; 13069.40; 12973.43; 13003.14
24.10.2017; 12998.66; 13055.65; 12983.38; 13013.19
25.10.2017; 12998.44; 13049.47; 12931.22; 12953.41
26.10.2017; 12955.43; 13144.65; 12940.83; 13133.28
27.10.2017; 13186.55; 13249.03; 13186.55; 13217.54
30.10.2017; 13227.85; 13255.38; 13214.60; 13229.57
01.11.2017; 13342.44; 13488.59; 13341.30; 13465.51
02.11.2017; 13448.52; 13460.86; 13405.91; 13440.93
03.11.2017; 13476.53; 13505.01; 13430.22; 13478.86
06.11.2017; 13459.42; 13481.23; 13441.66; 13468.79
07.11.2017; 13517.98; 13525.56; 13369.85; 13379.27
08.11.2017; 13404.58; 13419.77; 13345.11; 13382.42
09.11.2017; 13378.96; 13402.05; 13175.22; 13182.56
10.11.2017; 13206.35; 13216.97; 13111.65; 13127.47
13.11.2017; 13150.78; 13163.94; 12960.65; 13074.42
14.11.2017; 13101.09; 13139.27; 13000.15; 13033.48
15.11.2017; 12963.09; 12996.12; 12847.88; 12976.37
16.11.2017; 13024.39; 13071.94; 13008.02; 13047.22
17.11.2017; 13051.71; 13089.72; 12984.67; 12993.73
20.11.2017; 12932.81; 13085.17; 12926.13; 13058.66
21.11.2017; 13042.94; 13209.01; 13026.77; 13167.54
22.11.2017; 13171.36; 13191.96; 13008.97; 13015.04
23.11.2017; 12943.49; 13049.08; 12921.15; 13008.55
24.11.2017; 13023.52; 13160.81; 12981.68; 13059.84
27.11.2017; 13036.74; 13117.76; 12989.37; 13000.20
28.11.2017; 13008.94; 13071.01; 12966.38; 13059.53
29.11.2017; 13153.74; 13196.15; 13037.34; 13061.87
30.11.2017; 13060.56; 13177.57; 13023.98; 13023.98
01.12.2017; 13044.15; 13064.29; 12810.13; 12861.49
04.12.2017; 13038.77; 13117.75; 12974.32; 13058.55
05.12.2017; 13056.82; 13094.38; 12960.59; 13048.54
06.12.2017; 12897.43; 13033.75; 12864.68; 12998.85
07.12.2017; 13026.30; 13083.08; 12989.00; 13045.15
08.12.2017; 13146.82; 13240.92; 13136.78; 13153.70
11.12.2017; 13181.85; 13192.42; 13112.82; 13123.65
12.12.2017; 13131.41; 13183.83; 13079.86; 13183.53
13.12.2017; 13148.52; 13188.07; 13120.40; 13125.64
14.12.2017; 13107.11; 13159.48; 13011.97; 13068.08
15.12.2017; 13027.84; 13109.13; 13008.07; 13103.56
18.12.2017; 13211.63; 13331.95; 13206.12; 13312.30
19.12.2017; 13314.73; 13338.91; 13213.19; 13215.79
20.12.2017; 13244.27; 13252.67; 13026.11; 13069.17
21.12.2017; 13065.79; 13137.71; 13013.63; 13109.74
22.12.2017; 13076.76; 13108.56; 13059.87; 13072.79
27.12.2017; 13070.19; 13128.74; 13020.43; 13070.02
28.12.2017; 13065.46; 13069.40; 12965.28; 12979.94
29.12.2017; 12980.09; 12980.74; 12911.73; 12917.64
02.01.2018; 12897.69; 12924.16; 12745.15; 12871.39
03.01.2018; 12916.18; 13023.59; 12893.05; 12978.21
04.01.2018; 13065.98; 13208.35; 13062.67; 13167.89
