Datum;Eroeffnung;Hoch;Tief;Schluss
02.01.2017; 19782.00; 19932.00; 19782.00; 19892.00
03.01.2017; 19898.00; 19952.00; 19778.00; 19864.00
04.01.2017; 19890.00; 19950.00; 19878.00; 19934.00
05.01.2017; 19906.00; 19942.00; 19804.00; 19890.00
06.01.2017; 19890.00; 19996.00; 19836.00; 19964.00
09.01.2017; 19994.00; 19996.00; 19894.00; 19894.00
10.01.2017; 19884.00; 19960.00; 19842.00; 19858.00
11.01.2017; 19864.00; 19976.00; 19836.00; 19952.00
12.01.2017; 19906.00; 19922.00; 19772.00; 19890.00
13.01.2017; 19898.00; 19954.00; 19850.00; 19886.00
16.01.2017; 19862.00; 19886.00; 19850.00; 19854.00
17.01.2017; 19854.00; 19886.00; 19778.00; 19834.00
18.01.2017; 19850.00; 19856.00; 19742.00; 19810.00
19.01.2017; 19808.00; 19826.00; 19680.00; 19736.00
20.01.2017; 19746.00; 19850.00; 19740.00; 19828.00
23.01.2017; 19778.00; 19840.00; 19740.00; 19806.00
24.01.2017; 19806.00; 19950.00; 19794.00; 19918.00
25.01.2017; 19944.00; 20088.00; 19942.00; 20068.00
26.01.2017; 20134.00; 20136.00; 20074.00; 20104.00
27.01.2017; 20118.00; 20140.00; 20076.00; 20094.00
30.01.2017; 20044.00; 20062.00; 19872.00; 19972.00
31.01.2017; 19912.00; 19950.00; 19786.00; 19864.00
01.02.2017; 19918.00; 19966.00; 19846.00; 19886.00
02.02.2017; 19826.00; 19920.00; 19810.00; 19884.00
03.02.2017; 19880.00; 20076.00; 19880.00; 20060.00
06.02.2017; 20066.00; 20092.00; 20006.00; 20054.00
07.02.2017; 20046.00; 20158.00; 20040.00; 20088.00
08.02.2017; 20096.00; 20102.00; 20016.00; 20050.00
09.02.2017; 20048.00; 20206.00; 20038.00; 20168.00
10.02.2017; 20232.00; 20296.00; 20198.00; 20268.00
13.02.2017; 20290.00; 20442.00; 20288.00; 20412.00
14.02.2017; 20412.00; 20502.00; 20384.00; 20502.00
15.02.2017; 20534.00; 20620.00; 20502.00; 20612.00
16.02.2017; 20632.00; 20642.00; 20560.00; 20622.00
17.02.2017; 20598.00; 20622.00; 20530.00; 20620.00
20.02.2017; 20662.00; 20694.00; 20638.00; 20650.00
21.02.2017; 20638.00; 20760.00; 20630.00; 20736.00
22.02.2017; 20736.00; 20782.00; 20694.00; 20770.00
23.02.2017; 20776.00; 20842.00; 20750.00; 20804.00
24.02.2017; 20794.00; 20812.00; 20718.00; 20812.00
27.02.2017; 20812.00; 20850.00; 20776.00; 20838.00
28.02.2017; 20822.00; 20844.00; 20784.00; 20820.00
01.03.2017; 20846.00; 21172.00; 20842.00; 21118.00
02.03.2017; 21130.00; 21142.00; 21000.00; 21008.00
03.03.2017; 20964.00; 21046.00; 20956.00; 20998.00
06.03.2017; 20956.00; 20990.00; 20916.00; 20958.00
07.03.2017; 20968.00; 20974.00; 20904.00; 20924.00
08.03.2017; 20888.00; 20954.00; 20840.00; 20858.00
09.03.2017; 20864.00; 20904.00; 20782.00; 20858.00
10.03.2017; 20916.00; 20982.00; 20830.00; 20900.00
13.03.2017; 20902.00; 20922.00; 20810.00; 20876.00
14.03.2017; 20864.00; 20872.00; 20786.00; 20852.00
15.03.2017; 20880.00; 20974.00; 20862.00; 20938.00
16.03.2017; 20992.00; 21034.00; 20898.00; 20934.00
17.03.2017; 20914.00; 20978.00; 20910.00; 20918.00
20.03.2017; 20902.00; 20954.00; 20886.00; 20916.00
21.03.2017; 20942.00; 20972.00; 20660.00; 20666.00
22.03.2017; 20640.00; 20688.00; 20584.00; 20650.00
23.03.2017; 20662.00; 20760.00; 20620.00; 20662.00
24.03.2017; 20702.00; 20722.00; 20534.00; 20624.00
27.03.2017; 20520.00; 20586.00; 20424.00; 20562.00
28.03.2017; 20592.00; 20736.00; 20518.00; 20706.00
29.03.2017; 20704.00; 20724.00; 20624.00; 20662.00
30.03.2017; 20676.00; 20754.00; 20632.00; 20722.00
31.03.2017; 20686.00; 20724.00; 20660.00; 20666.00
03.04.2017; 20680.00; 20714.00; 20522.00; 20656.00
04.04.2017; 20616.00; 20702.00; 20578.00; 20692.00
05.04.2017; 20692.00; 20890.00; 20642.00; 20648.00
06.04.2017; 20598.00; 20750.00; 20586.00; 20666.00
07.04.2017; 20608.00; 20728.00; 20594.00; 20660.00
10.04.2017; 20694.00; 20752.00; 20616.00; 20656.00
11.04.2017; 20646.00; 20668.00; 20514.00; 20654.00
12.04.2017; 20646.00; 20704.00; 20558.00; 20590.00
13.04.2017; 20596.00; 20614.00; 20462.00; 20464.00
17.04.2017; 20462.00; 20644.00; 20454.00; 20636.00
18.04.2017; 20642.00; 20652.00; 20464.00; 20524.00
19.04.2017; 20504.00; 20552.00; 20376.00; 20400.00
20.04.2017; 20404.00; 20628.00; 20398.00; 20580.00
21.04.2017; 20604.00; 20614.00; 20506.00; 20550.00
24.04.2017; 20728.00; 20792.00; 20726.00; 20770.00
25.04.2017; 20808.00; 21030.00; 20796.00; 21002.00
26.04.2017; 21018.00; 21074.00; 20974.00; 20978.00
27.04.2017; 20992.00; 21010.00; 20936.00; 20980.00
28.04.2017; 20956.00; 20994.00; 20926.00; 20938.00
01.05.2017; 20964.00; 20988.00; 20898.00; 20920.00
02.05.2017; 20926.00; 20964.00; 20906.00; 20950.00
03.05.2017; 20920.00; 20974.00; 20876.00; 20952.00
04.05.2017; 20970.00; 21012.00; 20844.00; 20946.00
05.05.2017; 20904.00; 21000.00; 20896.00; 21000.00
08.05.2017; 21018.00; 21018.00; 20962.00; 21008.00
09.05.2017; 20994.00; 21044.00; 20938.00; 20976.00
10.05.2017; 20910.00; 20972.00; 20882.00; 20938.00
11.05.2017; 20922.00; 20930.00; 20796.00; 20918.00
12.05.2017; 20890.00; 20914.00; 20862.00; 20888.00
15.05.2017; 20912.00; 20998.00; 20904.00; 20978.00
16.05.2017; 20968.00; 21030.00; 20930.00; 20978.00
17.05.2017; 20854.00; 20880.00; 20602.00; 20610.00
18.05.2017; 20646.00; 20754.00; 20496.00; 20656.00
19.05.2017; 20664.00; 20852.00; 20648.00; 20798.00
22.05.2017; 20842.00; 20914.00; 20786.00; 20890.00
23.05.2017; 20882.00; 20962.00; 20870.00; 20936.00
24.05.2017; 20928.00; 21012.00; 20926.00; 21000.00
25.05.2017; 21098.00; 21116.00; 21052.00; 21082.00
26.05.2017; 21062.00; 21092.00; 21038.00; 21074.00
29.05.2017; 21098.00; 21110.00; 21086.00; 21086.00
30.05.2017; 21068.00; 21080.00; 21012.00; 21030.00
31.05.2017; 21030.00; 21070.00; 20942.00; 21010.00
01.06.2017; 21020.00; 21134.00; 20990.00; 21132.00
02.06.2017; 21200.00; 21224.00; 21132.00; 21196.00
