Datum;Eroeffnung;Hoch;Tief;Schluss
03.01.2017; 5425.62; 5452.57; 5397.99; 5429.08
04.01.2017; 5440.91; 5482.35; 5440.24; 5477.00
05.01.2017; 5474.39; 5495.85; 5464.36; 5487.94
06.01.2017; 5499.08; 5536.52; 5482.81; 5521.06
09.01.2017; 5527.58; 5541.08; 5517.14; 5531.82
10.01.2017; 5536.54; 5564.25; 5528.11; 5551.82
11.01.2017; 5550.72; 5564.08; 5524.03; 5563.65
12.01.2017; 5542.56; 5550.67; 5496.82; 5547.49
13.01.2017; 5557.57; 5584.26; 5557.20; 5574.12
17.01.2017; 5555.16; 5557.05; 5527.22; 5538.73
18.01.2017; 5546.94; 5555.98; 5534.77; 5555.65
19.01.2017; 5560.61; 5571.53; 5528.37; 5540.08
20.01.2017; 5556.87; 5574.35; 5542.23; 5555.33
23.01.2017; 5546.64; 5564.14; 5522.69; 5552.94
24.01.2017; 5568.27; 5606.53; 5558.49; 5600.96
25.01.2017; 5635.86; 5658.59; 5634.33; 5656.34
26.01.2017; 5666.28; 5669.61; 5647.65; 5655.18
27.01.2017; 5664.88; 5667.45; 5643.90; 5660.78
30.01.2017; 5635.86; 5636.09; 5578.76; 5613.71
31.01.2017; 5592.87; 5615.15; 5576.09; 5614.79
01.02.2017; 5654.51; 5662.11; 5621.03; 5642.65
02.02.2017; 5627.15; 5656.01; 5616.40; 5636.20
03.02.2017; 5650.73; 5666.84; 5647.58; 5666.77
06.02.2017; 5656.95; 5668.20; 5650.26; 5663.55
07.02.2017; 5674.86; 5689.60; 5664.82; 5674.22
08.02.2017; 5662.95; 5686.96; 5649.39; 5682.45
09.02.2017; 5688.02; 5722.71; 5685.15; 5715.18
10.02.2017; 5726.17; 5743.43; 5717.42; 5734.13
13.02.2017; 5753.19; 5770.99; 5751.92; 5763.96
14.02.2017; 5756.51; 5783.09; 5748.74; 5782.57
15.02.2017; 5777.90; 5821.95; 5776.70; 5819.44
16.02.2017; 5823.01; 5835.15; 5796.71; 5814.90
17.02.2017; 5807.31; 5838.58; 5800.80; 5838.58
21.02.2017; 5850.20; 5867.89; 5847.50; 5865.95
22.02.2017; 5857.56; 5864.41; 5848.28; 5860.63
23.02.2017; 5866.82; 5866.96; 5809.55; 5835.51
24.02.2017; 5802.33; 5845.31; 5800.55; 5845.31
27.02.2017; 5835.04; 5861.90; 5827.00; 5861.90
28.02.2017; 5852.79; 5855.07; 5817.22; 5825.44
01.03.2017; 5874.86; 5911.79; 5865.79; 5904.03
02.03.2017; 5897.01; 5897.01; 5856.30; 5861.22
03.03.2017; 5854.27; 5870.75; 5841.47; 5870.75
06.03.2017; 5846.42; 5857.74; 5827.46; 5849.17
07.03.2017; 5836.12; 5859.77; 5826.32; 5833.93
08.03.2017; 5838.44; 5860.63; 5832.63; 5837.55
09.03.2017; 5834.67; 5852.54; 5812.08; 5838.81
10.03.2017; 5867.16; 5872.60; 5835.44; 5861.73
13.03.2017; 5863.48; 5877.43; 5860.83; 5875.78
14.03.2017; 5860.07; 5860.50; 5831.88; 5856.82
15.03.2017; 5869.97; 5911.20; 5858.16; 5900.05
16.03.2017; 5907.86; 5911.48; 5887.24; 5900.76
17.03.2017; 5898.58; 5912.61; 5890.42; 5901.00
20.03.2017; 5898.81; 5915.12; 5888.12; 5901.53
21.03.2017; 5923.42; 5928.06; 5790.73; 5793.83
22.03.2017; 5790.59; 5825.67; 5781.80; 5821.64
23.03.2017; 5812.31; 5842.82; 5806.98; 5817.69
24.03.2017; 5839.33; 5858.95; 5807.83; 5828.74
27.03.2017; 5776.33; 5849.20; 5769.39; 5840.37
28.03.2017; 5836.50; 5888.70; 5828.86; 5875.14
29.03.2017; 5875.35; 5900.87; 5870.93; 5897.55
30.03.2017; 5896.15; 5916.77; 5894.00; 5914.34
31.03.2017; 5905.63; 5927.81; 5901.77; 5911.74
03.04.2017; 5917.32; 5928.93; 5867.73; 5894.68
04.04.2017; 5878.76; 5901.39; 5878.76; 5898.61
05.04.2017; 5911.92; 5936.39; 5856.26; 5864.48
06.04.2017; 5870.52; 5889.58; 5856.22; 5878.95
07.04.2017; 5873.94; 5892.07; 5855.51; 5877.81
10.04.2017; 5883.43; 5907.85; 5865.56; 5880.93
11.04.2017; 5871.16; 5878.94; 5819.29; 5866.77
12.04.2017; 5863.59; 5868.09; 5830.44; 5836.16
13.04.2017; 5828.37; 5856.54; 5805.15; 5805.15
17.04.2017; 5821.55; 5856.79; 5818.20; 5856.79
18.04.2017; 5838.59; 5860.04; 5828.57; 5849.47
19.04.2017; 5874.43; 5894.67; 5856.34; 5863.03
20.04.2017; 5887.87; 5926.23; 5880.20; 5916.78
21.04.2017; 5919.02; 5919.23; 5899.43; 5910.52
24.04.2017; 5979.96; 5989.92; 5970.25; 5983.82
25.04.2017; 6004.16; 6036.02; 6002.65; 6025.49
26.04.2017; 6028.12; 6040.89; 6021.72; 6025.23
27.04.2017; 6038.47; 6050.70; 6031.59; 6048.94
28.04.2017; 6072.87; 6074.04; 6040.71; 6047.61
01.05.2017; 6067.56; 6100.73; 6061.35; 6091.60
02.05.2017; 6102.51; 6102.72; 6081.56; 6095.37
03.05.2017; 6075.04; 6076.96; 6053.28; 6072.55
04.05.2017; 6075.06; 6080.82; 6054.33; 6075.34
05.05.2017; 6091.69; 6100.76; 6067.16; 6100.76
08.05.2017; 6100.66; 6106.12; 6083.06; 6102.66
09.05.2017; 6111.82; 6133.00; 6107.59; 6120.59
10.05.2017; 6121.64; 6131.64; 6103.87; 6129.14
11.05.2017; 6110.05; 6120.20; 6075.68; 6115.96
12.05.2017; 6119.27; 6122.84; 6105.42; 6121.23
15.05.2017; 6128.11; 6153.04; 6124.79; 6149.67
16.05.2017; 6160.52; 6170.16; 6139.10; 6169.87
17.05.2017; 6108.62; 6122.87; 6009.48; 6011.24
18.05.2017; 5998.46; 6073.45; 5996.81; 6055.13
19.05.2017; 6070.23; 6106.55; 6070.23; 6083.70
22.05.2017; 6098.25; 6135.92; 6097.24; 6133.62
23.05.2017; 6149.55; 6150.91; 6121.79; 6138.71
24.05.2017; 6154.18; 6166.09; 6139.33; 6163.02
25.05.2017; 6183.02; 6217.34; 6174.52; 6205.26
26.05.2017; 6207.04; 6211.52; 6196.66; 6210.19
30.05.2017; 6204.18; 6217.13; 6200.41; 6203.19
31.05.2017; 6221.63; 6221.99; 6164.07; 6198.52
01.06.2017; 6215.91; 6247.07; 6200.45; 6246.83
02.06.2017; 6261.59; 6308.76; 6253.77; 6305.80
05.06.2017; 6305.47; 6310.62; 6292.14; 6295.68
06.06.2017; 6281.88; 6304.21; 6269.86; 6275.06
07.06.2017; 6290.44; 6302.78; 6267.18; 6297.38
08.06.2017; 6311.73; 6324.06; 6282.93; 6321.76
09.06.2017; 6330.25; 6341.70; 6137.68; 6207.92
12.06.2017; 6153.56; 6183.81; 6110.66; 6175.46
13.06.2017; 6206.12; 6226.41; 6180.04; 6220.37
14.06.2017; 6237.46; 6237.53; 6153.55; 6194.89
15.06.2017; 6127.05; 6170.15; 6107.85; 6165.50
16.06.2017; 6154.28; 6161.56; 6125.50; 6151.76
19.06.2017; 6196.85; 6243.31; 6194.00; 6239.01
20.06.2017; 6229.62; 6234.01; 6186.94; 6188.03
21.06.2017; 6202.75; 6236.66; 6200.86; 6233.95
22.06.2017; 6239.15; 6257.68; 6221.96; 6236.69
23.06.2017; 6234.35; 6269.37; 6218.78; 6265.25
26.06.2017; 6292.73; 6303.45; 6233.43; 6247.15
27.06.2017; 6227.90; 6234.32; 6146.62; 6146.62
