Datum;Eroeffnung;Hoch;Tief;Schluss
02.01.2017; 2238.50; 2256.50; 2238.50; 2251.50
03.01.2017; 2253.00; 2264.75; 2245.00; 2256.75
04.01.2017; 2260.50; 2272.00; 2259.25; 2269.25
05.01.2017; 2267.25; 2270.75; 2259.75; 2269.00
06.01.2017; 2269.00; 2282.50; 2264.00; 2277.25
09.01.2017; 2280.25; 2280.75; 2269.25; 2269.75
10.01.2017; 2268.00; 2279.50; 2265.25; 2269.00
11.01.2017; 2267.75; 2275.25; 2260.75; 2275.25
12.01.2017; 2270.00; 2272.25; 2254.00; 2270.25
13.01.2017; 2270.75; 2278.50; 2269.00; 2273.25
16.01.2017; 2272.25; 2274.00; 2269.50; 2270.25
17.01.2017; 2270.25; 2272.25; 2262.75; 2267.75
18.01.2017; 2272.25; 2273.25; 2263.50; 2272.00
19.01.2017; 2271.75; 2274.50; 2258.25; 2263.50
20.01.2017; 2268.50; 2277.75; 2265.25; 2271.50
23.01.2017; 2264.75; 2272.00; 2256.75; 2266.25
24.01.2017; 2266.50; 2285.50; 2264.75; 2281.00
25.01.2017; 2282.50; 2300.00; 2282.50; 2298.25
26.01.2017; 2303.25; 2303.50; 2294.25; 2297.00
27.01.2017; 2298.25; 2301.25; 2291.75; 2294.50
30.01.2017; 2288.00; 2290.25; 2268.00; 2280.50
31.01.2017; 2274.75; 2279.75; 2267.00; 2278.75
01.02.2017; 2285.25; 2289.00; 2272.75; 2278.50
02.02.2017; 2270.75; 2283.75; 2269.50; 2280.50
03.02.2017; 2277.75; 2298.25; 2277.75; 2296.50
06.02.2017; 2296.00; 2298.75; 2288.25; 2292.50
07.02.2017; 2291.00; 2300.25; 2290.00; 2292.75
08.02.2017; 2294.50; 2296.00; 2285.25; 2294.50
09.02.2017; 2294.00; 2311.50; 2293.00; 2307.50
10.02.2017; 2312.25; 2319.25; 2308.75; 2316.00
13.02.2017; 2317.25; 2332.50; 2317.25; 2328.50
14.02.2017; 2327.75; 2338.50; 2322.75; 2338.00
15.02.2017; 2339.75; 2351.75; 2333.50; 2349.00
