Datum;Eroeffnung;Hoch;Tief;Schluss
03.01.2017; 4900.85; 4928.49; 4884.52; 4911.33
04.01.2017; 4920.79; 4944.74; 4919.80; 4937.20
05.01.2017; 4936.35; 4967.90; 4935.34; 4964.95
06.01.2017; 4973.87; 5020.70; 4957.82; 5007.08
09.01.2017; 5013.82; 5033.32; 5009.45; 5024.90
10.01.2017; 5027.50; 5049.83; 5016.19; 5035.17
11.01.2017; 5033.88; 5050.21; 5012.65; 5050.21
12.01.2017; 5029.28; 5044.36; 4995.07; 5041.43
13.01.2017; 5047.56; 5066.95; 5045.92; 5059.51
17.01.2017; 5043.07; 5053.20; 5029.61; 5044.65
18.01.2017; 5050.26; 5058.20; 5039.18; 5055.85
19.01.2017; 5061.10; 5078.41; 5041.21; 5051.17
20.01.2017; 5070.15; 5085.34; 5050.02; 5063.20
23.01.2017; 5055.97; 5073.24; 5035.49; 5065.70
24.01.2017; 5079.61; 5108.22; 5068.37; 5101.06
25.01.2017; 5132.87; 5153.18; 5129.00; 5151.47
26.01.2017; 5164.12; 5168.20; 5148.85; 5156.92
27.01.2017; 5169.49; 5172.43; 5150.18; 5168.06
30.01.2017; 5146.41; 5146.88; 5098.34; 5129.33
31.01.2017; 5107.47; 5116.80; 5086.33; 5116.77
01.02.2017; 5157.83; 5162.46; 5128.90; 5152.69
02.02.2017; 5141.28; 5162.56; 5128.76; 5147.70
03.02.2017; 5153.61; 5165.47; 5147.58; 5161.60
06.02.2017; 5154.18; 5167.96; 5148.06; 5167.96
07.02.2017; 5178.85; 5196.27; 5174.34; 5185.88
08.02.2017; 5176.50; 5201.57; 5168.98; 5196.58
09.02.2017; 5200.17; 5221.62; 5196.07; 5212.16
10.02.2017; 5219.81; 5234.27; 5212.83; 5226.69
13.02.2017; 5242.49; 5262.42; 5241.00; 5256.82
14.02.2017; 5251.36; 5271.10; 5238.69; 5271.07
15.02.2017; 5266.12; 5304.34; 5264.44; 5302.39
16.02.2017; 5306.38; 5316.79; 5287.54; 5300.64
17.02.2017; 5295.49; 5324.72; 5291.70; 5324.72
21.02.2017; 5334.57; 5353.16; 5330.47; 5350.73
22.02.2017; 5345.18; 5354.73; 5335.80; 5352.13
23.02.2017; 5358.03; 5358.53; 5309.99; 5332.37
24.02.2017; 5305.23; 5343.31; 5304.01; 5343.31
27.02.2017; 5330.56; 5347.88; 5322.13; 5347.55
28.02.2017; 5344.18; 5347.47; 5316.70; 5330.31
01.03.2017; 5368.65; 5398.43; 5355.38; 5390.99
02.03.2017; 5386.34; 5387.73; 5355.53; 5363.26
03.03.2017; 5355.21; 5373.48; 5344.48; 5373.48
06.03.2017; 5352.61; 5368.27; 5338.61; 5360.31
07.03.2017; 5348.20; 5373.26; 5341.43; 5351.28
08.03.2017; 5351.35; 5375.77; 5348.73; 5359.80
09.03.2017; 5355.78; 5370.66; 5336.08; 5363.98
10.03.2017; 5390.46; 5394.66; 5364.10; 5385.90
13.03.2017; 5387.73; 5396.39; 5382.02; 5394.57
14.03.2017; 5382.79; 5384.88; 5360.70; 5382.17
15.03.2017; 5392.48; 5426.84; 5375.88; 5416.25
16.03.2017; 5421.46; 5423.66; 5399.27; 5412.08
17.03.2017; 5413.47; 5423.28; 5406.81; 5408.76
20.03.2017; 5406.02; 5426.47; 5400.16; 5413.31
21.03.2017; 5433.28; 5439.58; 5328.71; 5332.53
22.03.2017; 5332.64; 5372.27; 5327.25; 5367.55
23.03.2017; 5356.71; 5375.43; 5346.30; 5355.14
24.03.2017; 5376.74; 5392.28; 5345.94; 5364.00
27.03.2017; 5320.96; 5383.22; 5316.02; 5374.27
28.03.2017; 5371.90; 5422.25; 5363.29; 5407.21
29.03.2017; 5410.14; 5433.36; 5405.10; 5430.27
30.03.2017; 5430.31; 5446.51; 5425.30; 5439.74
31.03.2017; 5430.99; 5451.50; 5427.50; 5436.23
03.04.2017; 5440.20; 5453.44; 5403.31; 5432.20
04.04.2017; 5415.53; 5441.34; 5415.30; 5440.41
05.04.2017; 5447.27; 5479.86; 5409.04; 5418.52
06.04.2017; 5423.65; 5435.06; 5407.87; 5420.88
07.04.2017; 5420.94; 5434.18; 5400.08; 5418.37
