Datum;Eroeffnung;Hoch;Tief;Schluss
01.01.2017; 924.50; 1000; 901.00; 944.97
02.01.2017; 946.00; 1479; 925.77; 981.00
03.01.2017; 980.00; 1111.11; 927.90; 989.80
04.01.2017; 989.77; 1200; 939.11; 1084.74
05.01.2017; 1084; 1199.99; 872.02; 942.40
06.01.2017; 937.00; 1099.99; 807.00; 851.00
07.01.2017; 860.54; 999.99; 701.00; 857.00
08.01.2017; 859.00; 1024.99; 848.08; 899.93
09.01.2017; 899.94; 1099.99; 820.10; 870.00
10.01.2017; 866.01; 1060; 818.63; 875.95
11.01.2017; 875.00; 998.90; 710.00; 765.19
12.01.2017; 745.00; 980.00; 708.36; 797.75
13.01.2017; 799.98; 1054; 730.00; 789.00
14.01.2017; 795.98; 897.00; 760.42; 792.95
15.01.2017; 772.89; 1000; 740.00; 787.52
16.01.2017; 786.96; 1000; 760.30; 793.00
17.01.2017; 796.00; 1010; 788.50; 846.31
18.01.2017; 869.90; 999.99; 750.00; 836.50
19.01.2017; 845.68; 899.19; 781.00; 859.07
20.01.2017; 859.09; 950.00; 745.70; 855.00
21.01.2017; 848.00; 899.59; 835.00; 874.50
22.01.2017; 871.83; 899.19; 834.00; 872.00
23.01.2017; 872.91; 999.99; 841.02; 869.89
24.01.2017; 868.90; 995.00; 836.06; 842.10
25.01.2017; 840.00; 899.99; 790.00; 836.20
26.01.2017; 835.05; 1050; 830.00; 867.18
27.01.2017; 863.00; 999.99; 807.25; 858.68
28.01.2017; 866.00; 1190; 850.05; 875.00
29.01.2017; 868.11; 884.44; 845.15; 863.50
30.01.2017; 870.00; 950.00; 829.99; 870.00
31.01.2017; 860.04; 1014.8; 854.15; 899.70
01.02.2017; 889.20; 999.95; 824.00; 925.00
02.02.2017; 920.00; 999.99; 911.37; 935.01
03.02.2017; 947.81; 1089.99; 555.99; 945.92
04.02.2017; 945.92; 999.99; 691.00; 956.74
05.02.2017; 952.50; 1048; 859.00; 963.87
06.02.2017; 954.39; 1015; 692.50; 966.15
07.02.2017; 960.48; 1050; 909.21; 990.00
08.02.2017; 990.00; 1070; 952.00; 1000
09.02.2017; 1003.99; 1100; 840.22; 928.40
10.02.2017; 925.00; 988.50; 848.50; 949.00
11.02.2017; 957.56; 1000; 908.00; 958.00
12.02.2017; 952.10; 998.88; 860.00; 942.02
13.02.2017; 953.98; 1060; 920.50; 954.77
14.02.2017; 962.69; 1044.4; 930.10; 969.99
15.02.2017; 948.56; 1016.6; 948.00; 967.68
16.02.2017; 971.99; 1028.85; 841.03; 976.27
17.02.2017; 985.56; 1044.44; 970.00; 998.33
18.02.2017; 983.00; 1039; 973.00; 998.50
19.02.2017; 999.84; 1500; 964.71; 999.78
20.02.2017; 998.00; 1048.9; 950.00; 1005
21.02.2017; 992.12; 1210; 940.95; 1064.5
22.02.2017; 1051.7; 1200; 964.00; 1060
23.02.2017; 1072; 1150; 1003.62; 1108.5
24.02.2017; 1104.5; 1200; 900.00; 1105
25.02.2017; 1117.5; 1199.99; 982.50; 1119.99
26.02.2017; 1089; 1169.99; 990.00; 1125.05
