Datum;Eroeffnung;Hoch;Tief;Schluss
03.01.2017; ; ; ; 1760
04.01.2017; ; ; ; 1775
05.01.2017; ; ; ; 1781
06.01.2017; ; ; ; 1786
09.01.2017; ; ; ; 1778
10.01.2017; ; ; ; 1782
11.01.2017; ; ; ; 1779
12.01.2017; ; ; ; 1782
13.01.2017; ; ; ; 1792
17.01.2017; ; ; ; 1780
18.01.2017; ; ; ; 1782
19.01.2017; ; ; ; 1778
20.01.2017; ; ; ; 1781
23.01.2017; ; ; ; 1783
24.01.2017; ; ; ; 1789
25.01.2017; ; ; ; 1807
26.01.2017; ; ; ; 1804
27.01.2017; ; ; ; 1802
30.01.2017; ; ; ; 1793
31.01.2017; ; ; ; 1788
01.02.2017; ; ; ; 1792
02.02.2017; ; ; ; 1792
03.02.2017; ; ; ; 1810
06.02.2017; ; ; ; 1797
07.02.2017; ; ; ; 1795
08.02.2017; ; ; ; 1804
09.02.2017; ; ; ; 1804
10.02.2017; ; ; ; 1815
13.02.2017; ; ; ; 1822
14.02.2017; ; ; ; 1828
15.02.2017; ; ; ; 1832
16.02.2017; ; ; ; 1834
17.02.2017; ; ; ; 1834
21.02.2017; ; ; ; 1844
22.02.2017; ; ; ; 1840
23.02.2017; ; ; ; 1846
24.02.2017; ; ; ; 1843
27.02.2017; ; ; ; 1839
28.02.2017; ; ; ; 1837
01.03.2017; ; ; ; 1853
02.03.2017; ; ; ; 1851
03.03.2017; ; ; ; 1849
06.03.2017; ; ; ; 1845
07.03.2017; ; ; ; 1843
08.03.2017; ; ; ; 1839
09.03.2017; ; ; ; 1832
10.03.2017; ; ; ; 1847
13.03.2017; ; ; ; 1848
14.03.2017; ; ; ; 1840
15.03.2017; ; ; ; 1851
16.03.2017; ; ; ; 1865
17.03.2017; ; ; ; 1864
20.03.2017; ; ; ; 1856
21.03.2017; ; ; ; 1848
22.03.2017; ; ; ; 1841
23.03.2017; ; ; ; 1849
24.03.2017; ; ; ; 1850
27.03.2017; ; ; ; 1844
28.03.2017; ; ; ; 1858
29.03.2017; ; ; ; 1858
30.03.2017; ; ; ; 1861
31.03.2017; ; ; ; 1856
03.04.2017; ; ; ; 1847
04.04.2017; ; ; ; 1848
05.04.2017; ; ; ; 1844
06.04.2017; ; ; ; 1850
07.04.2017; ; ; ; 1843
10.04.2017; ; ; ; 1844
11.04.2017; ; ; ; 1846
12.04.2017; ; ; ; 1843
13.04.2017; ; ; ; 1832
17.04.2017; ; ; ; 1851
18.04.2017; ; ; ; 1835
19.04.2017; ; ; ; 1831
20.04.2017; ; ; ; 1845
21.04.2017; ; ; ; 1839
24.04.2017; ; ; ; 1875
25.04.2017; ; ; ; 1881
26.04.2017; ; ; ; 1879
27.04.2017; ; ; ; 1880
